CREATE (u1:User {id: 1, name: 'carlos_m', sport: 'soccer', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 28, latitude: 34.0522, longitude: -118.2437})
CREATE (u2:User {id: 2, name: 'maria_g', sport: 'tennis', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 25, latitude: 32.7157, longitude: -117.1611})
CREATE (u3:User {id: 3, name: 'james_k', sport: 'basketball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 32, latitude: 34.0522, longitude: -118.2437})
CREATE (u4:User {id: 4, name: 'sarah_w', sport: 'soccer', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 27, latitude: 37.7749, longitude: -122.4194})
CREATE (u5:User {id: 5, name: 'alex_p', sport: 'tennis', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 30, latitude: 32.7157, longitude: -117.1611})
CREATE (u6:User {id: 6, name: 'jenny_l', sport: 'basketball', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 23, latitude: 34.0522, longitude: -118.2437})
CREATE (u7:User {id: 7, name: 'mike_r', sport: 'volleyball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 29, latitude: 37.7749, longitude: -122.4194})
CREATE (u8:User {id: 8, name: 'david_h', sport: 'soccer', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 22, latitude: 34.0522, longitude: -118.2437})
CREATE (u9:User {id: 9, name: 'emma_s', sport: 'tennis', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 26, latitude: 32.7157, longitude: -117.1611})
CREATE (u10:User {id: 10, name: 'chris_b', sport: 'basketball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 31, latitude: 37.7749, longitude: -122.4194})
CREATE (u11:User {id: 11, name: 'olivia_k', sport: 'soccer', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 24, latitude: 34.0522, longitude: -118.2437})
CREATE (u12:User {id: 12, name: 'ryan_t', sport: 'volleyball', competitive_level: 'beginner', city: 'San Diego', state: 'CA', age: 28, latitude: 32.7157, longitude: -117.1611})
CREATE (u13:User {id: 13, name: 'sophia_m', sport: 'tennis', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 29, latitude: 37.7749, longitude: -122.4194})
CREATE (u14:User {id: 14, name: 'jason_w', sport: 'basketball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 33, latitude: 34.0522, longitude: -118.2437})
CREATE (u15:User {id: 15, name: 'ashley_r', sport: 'soccer', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 25, latitude: 32.7157, longitude: -117.1611})
CREATE (u16:User {id: 16, name: 'kevin_l', sport: 'volleyball', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 27, latitude: 37.7749, longitude: -122.4194})
CREATE (u17:User {id: 17, name: 'amanda_c', sport: 'tennis', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 21, latitude: 34.0522, longitude: -118.2437})
CREATE (u18:User {id: 18, name: 'brian_p', sport: 'basketball', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 30, latitude: 32.7157, longitude: -117.1611})
CREATE (u19:User {id: 19, name: 'nicole_f', sport: 'soccer', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 26, latitude: 37.7749, longitude: -122.4194})
CREATE (u20:User {id: 20, name: 'tyler_g', sport: 'volleyball', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 29, latitude: 34.0522, longitude: -118.2437})
CREATE (u21:User {id: 21, name: 'rachel_d', sport: 'tennis', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 24, latitude: 32.7157, longitude: -117.1611})
CREATE (u22:User {id: 22, name: 'josh_n', sport: 'basketball', competitive_level: 'beginner', city: 'San Francisco', state: 'CA', age: 22, latitude: 37.7749, longitude: -122.4194})
CREATE (u23:User {id: 23, name: 'megan_h', sport: 'soccer', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 28, latitude: 34.0522, longitude: -118.2437})
CREATE (u24:User {id: 24, name: 'daniel_s', sport: 'volleyball', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 31, latitude: 32.7157, longitude: -117.1611})
CREATE (u25:User {id: 25, name: 'laura_b', sport: 'tennis', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 25, latitude: 37.7749, longitude: -122.4194})
CREATE (u26:User {id: 26, name: 'matt_k', sport: 'basketball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 34, latitude: 34.0522, longitude: -118.2437})
CREATE (u27:User {id: 27, name: 'jessica_t', sport: 'soccer', competitive_level: 'beginner', city: 'San Diego', state: 'CA', age: 23, latitude: 32.7157, longitude: -117.1611})
CREATE (u28:User {id: 28, name: 'andrew_m', sport: 'volleyball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 27, latitude: 37.7749, longitude: -122.4194})
CREATE (u29:User {id: 29, name: 'emily_w', sport: 'tennis', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 26, latitude: 34.0522, longitude: -118.2437})
CREATE (u30:User {id: 30, name: 'steven_r', sport: 'basketball', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 29, latitude: 32.7157, longitude: -117.1611})
CREATE (u31:User {id: 31, name: 'hannah_l', sport: 'soccer', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 25, latitude: 37.7749, longitude: -122.4194})
CREATE (u32:User {id: 32, name: 'justin_c', sport: 'volleyball', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 24, latitude: 34.0522, longitude: -118.2437})
CREATE (u33:User {id: 33, name: 'samantha_p', sport: 'tennis', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 28, latitude: 32.7157, longitude: -117.1611})
CREATE (u34:User {id: 34, name: 'brandon_f', sport: 'basketball', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 32, latitude: 37.7749, longitude: -122.4194})
CREATE (u35:User {id: 35, name: 'victoria_g', sport: 'soccer', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 26, latitude: 34.0522, longitude: -118.2437})
CREATE (u36:User {id: 36, name: 'eric_d', sport: 'volleyball', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 30, latitude: 32.7157, longitude: -117.1611})
CREATE (u37:User {id: 37, name: 'natalie_n', sport: 'tennis', competitive_level: 'beginner', city: 'San Francisco', state: 'CA', age: 22, latitude: 37.7749, longitude: -122.4194})
CREATE (u38:User {id: 38, name: 'derek_h', sport: 'basketball', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 28, latitude: 34.0522, longitude: -118.2437})
CREATE (u39:User {id: 39, name: 'michelle_s', sport: 'soccer', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 27, latitude: 32.7157, longitude: -117.1611})
CREATE (u40:User {id: 40, name: 'patrick_b', sport: 'volleyball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 29, latitude: 37.7749, longitude: -122.4194})
CREATE (u41:User {id: 41, name: 'amber_k', sport: 'tennis', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 25, latitude: 34.0522, longitude: -118.2437})
CREATE (u42:User {id: 42, name: 'sean_t', sport: 'basketball', competitive_level: 'beginner', city: 'San Diego', state: 'CA', age: 23, latitude: 32.7157, longitude: -117.1611})
CREATE (u43:User {id: 43, name: 'kelly_m', sport: 'soccer', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 26, latitude: 37.7749, longitude: -122.4194})
CREATE (u44:User {id: 44, name: 'greg_w', sport: 'volleyball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 31, latitude: 34.0522, longitude: -118.2437})
CREATE (u45:User {id: 45, name: 'christine_r', sport: 'tennis', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 28, latitude: 32.7157, longitude: -117.1611})
CREATE (u46:User {id: 46, name: 'adam_l', sport: 'basketball', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 33, latitude: 37.7749, longitude: -122.4194})
CREATE (u47:User {id: 47, name: 'sara_c', sport: 'soccer', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 22, latitude: 34.0522, longitude: -118.2437})
CREATE (u48:User {id: 48, name: 'nick_p', sport: 'volleyball', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 27, latitude: 32.7157, longitude: -117.1611})
CREATE (u49:User {id: 49, name: 'heather_f', sport: 'tennis', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 26, latitude: 37.7749, longitude: -122.4194})
CREATE (u50:User {id: 50, name: 'joe_g', sport: 'basketball', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 29, latitude: 34.0522, longitude: -118.2437})
CREATE (u51:User {id: 51, name: 'lauren_d', sport: 'soccer', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 25, latitude: 32.7157, longitude: -117.1611})
CREATE (u52:User {id: 52, name: 'tim_n', sport: 'volleyball', competitive_level: 'beginner', city: 'San Francisco', state: 'CA', age: 24, latitude: 37.7749, longitude: -122.4194})
CREATE (u53:User {id: 53, name: 'allison_h', sport: 'tennis', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 28, latitude: 34.0522, longitude: -118.2437})
CREATE (u54:User {id: 54, name: 'dave_s', sport: 'basketball', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 32, latitude: 32.7157, longitude: -117.1611})
CREATE (u55:User {id: 55, name: 'jen_b', sport: 'soccer', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 26, latitude: 37.7749, longitude: -122.4194})
CREATE (u56:User {id: 56, name: 'mark_k', sport: 'volleyball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 30, latitude: 34.0522, longitude: -118.2437})
CREATE (u57:User {id: 57, name: 'kate_t', sport: 'tennis', competitive_level: 'beginner', city: 'San Diego', state: 'CA', age: 22, latitude: 32.7157, longitude: -117.1611})
CREATE (u58:User {id: 58, name: 'jeff_m', sport: 'basketball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 28, latitude: 37.7749, longitude: -122.4194})
CREATE (u59:User {id: 59, name: 'lisa_w', sport: 'soccer', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 27, latitude: 34.0522, longitude: -118.2437})
CREATE (u60:User {id: 60, name: 'tom_r', sport: 'volleyball', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 29, latitude: 32.7157, longitude: -117.1611})
CREATE (u61:User {id: 61, name: 'amy_l', sport: 'tennis', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 25, latitude: 37.7749, longitude: -122.4194})
CREATE (u62:User {id: 62, name: 'dan_c', sport: 'basketball', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 23, latitude: 34.0522, longitude: -118.2437})
CREATE (u63:User {id: 63, name: 'beth_p', sport: 'soccer', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 26, latitude: 32.7157, longitude: -117.1611})
CREATE (u64:User {id: 64, name: 'rob_f', sport: 'volleyball', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 31, latitude: 37.7749, longitude: -122.4194})
CREATE (u65:User {id: 65, name: 'meg_g', sport: 'tennis', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 28, latitude: 34.0522, longitude: -118.2437})
CREATE (u66:User {id: 66, name: 'phil_d', sport: 'basketball', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 33, latitude: 32.7157, longitude: -117.1611})
CREATE (u67:User {id: 67, name: 'ann_n', sport: 'soccer', competitive_level: 'beginner', city: 'San Francisco', state: 'CA', age: 22, latitude: 37.7749, longitude: -122.4194})
CREATE (u68:User {id: 68, name: 'ben_h', sport: 'volleyball', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 27, latitude: 34.0522, longitude: -118.2437})
CREATE (u69:User {id: 69, name: 'sue_s', sport: 'tennis', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 26, latitude: 32.7157, longitude: -117.1611})
CREATE (u70:User {id: 70, name: 'jim_b', sport: 'basketball', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 29, latitude: 37.7749, longitude: -122.4194})
CREATE (u71:User {id: 71, name: 'pam_k', sport: 'soccer', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 25, latitude: 34.0522, longitude: -118.2437})
CREATE (u72:User {id: 72, name: 'ted_t', sport: 'volleyball', competitive_level: 'beginner', city: 'San Diego', state: 'CA', age: 24, latitude: 32.7157, longitude: -117.1611})
CREATE (u73:User {id: 73, name: 'kim_m', sport: 'tennis', competitive_level: 'intermediate', city: 'San Francisco', state: 'CA', age: 28, latitude: 37.7749, longitude: -122.4194})
CREATE (u74:User {id: 74, name: 'ray_w', sport: 'basketball', competitive_level: 'advanced', city: 'Los Angeles', state: 'CA', age: 32, latitude: 34.0522, longitude: -118.2437})
CREATE (u75:User {id: 75, name: 'val_r', sport: 'soccer', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 26, latitude: 32.7157, longitude: -117.1611})
CREATE (u76:User {id: 76, name: 'lee_l', sport: 'volleyball', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 30, latitude: 37.7749, longitude: -122.4194})
CREATE (u77:User {id: 77, name: 'joy_c', sport: 'tennis', competitive_level: 'beginner', city: 'Los Angeles', state: 'CA', age: 22, latitude: 34.0522, longitude: -118.2437})
CREATE (u78:User {id: 78, name: 'max_p', sport: 'basketball', competitive_level: 'intermediate', city: 'San Diego', state: 'CA', age: 28, latitude: 32.7157, longitude: -117.1611})
CREATE (u79:User {id: 79, name: 'ivy_f', sport: 'soccer', competitive_level: 'advanced', city: 'San Francisco', state: 'CA', age: 27, latitude: 37.7749, longitude: -122.4194})
CREATE (u80:User {id: 80, name: 'sam_g', sport: 'volleyball', competitive_level: 'intermediate', city: 'Los Angeles', state: 'CA', age: 29, latitude: 34.0522, longitude: -118.2437})
CREATE (u81:User {id: 81, name: 'zoe_d', sport: 'tennis', competitive_level: 'advanced', city: 'San Diego', state: 'CA', age: 25, latitude: 32.7157, longitude: -117.1611})
